ID,NL,MR,ALIGNMENT,MONOTONIC
0,dammi tutte le città in virginia,answer(city(loc_2(stateid(virginia)))),"('dammi', 'answer'), ('tutte', 'ε'), ('le', 'ε'), ('città', 'city'), ('in', 'loc_2'), ('virginia', 'stateid(virginia)')",1
1,quali sono i picchi degli stati intorno a mississipi,answer(high_point_1(state(next_to_2(stateid(mississippi))))),"('quali', 'answer'), ('sono', 'ε'), ('i', 'ε'), ('picchi', 'high_point_1'), ('degli', 'ε'), ('stati', 'state'), ('intorno', 'next_to_2'), ('a', 'ε'), ('mississipi', 'stateid(mississippi)')",1
2,nomina i fiumi in arkansas,answer(river(loc_2(stateid(arkansas)))),"('nomina', 'answer'), ('i', 'ε'), ('fiumi', 'river'), ('in', 'loc_2'), ('arkansas', 'stateid(arkansas)')",1
3,nomina tutti i fiumi in colorado,answer(river(loc_2(stateid(colorado)))),"('nomina', 'answer'), ('tutti', 'ε'), ('i', 'ε'), ('fiumi', 'river'), ('in', 'loc_2'), ('colorado', 'stateid(colorado)')",1
4,puoi dirmi la capitale del texas,answer(capital(loc_2(stateid(texas)))),"('puoi', 'ε'), ('dirmi', 'answer'), ('la', 'ε'), ('capitale', 'capital'), ('del', 'loc_2'), ('texas', 'stateid(texas)')",1
5,mi potresti dire quale è il picco più alto nello stato dell oregon,answer(highest(place(loc_2(stateid(oregon)))))),"('mi', 'ε'), ('potresti', 'ε'), ('dire', 'ε'), ('quale', 'answer'), ('è', 'ε'), ('il', 'ε'), ('picco', 'place'), ('più', 'ε'), ('alto', 'highest'), ('nello', 'loc_2'), ('stato', 'ε'), ('dell', 'ε'), ('oregon', 'stateid(oregon)')",0
6,conta gli stati che hanno elevazione inferiore a quella dell alabama,answer(count(state(low_point_2(lower_2(low_point_1(stateid(alabama))))))),"('conta', 'count'), ('gli', 'ε'), ('stati', 'state'), ('che', 'answer'), ('hanno', 'ε'), ('elevazione', 'low_point_2'), ('inferiore', 'lower_2'), ('a', 'ε'), ('quella', 'low_point_1'), ('dell', 'ε'), ('alabama', 'stateid(alabama)')",0
7,dammi tutti gli stati degli usa,answer(state(loc_2(countryid(usa)))),"('dammi', 'answer'), ('tutti', 'ε'), ('gli', 'ε'), ('stati', 'state'), ('degli', 'loc_2'), ('usa', 'countryid(usa)')",1
8,dammi le città in texas,answer(city(loc_2(stateid(texas)))),"('dammi', 'answer'), ('le', 'ε'), ('città', 'city'), ('in', 'loc_2'), ('texas', 'stateid(texas)')",1
9,dammi le città in usa,answer(city(loc_2(countryid(usa)))),"('dammi', 'answer'), ('le', 'ε'), ('città', 'city'), ('in', 'loc_2'), ('usa', 'countryid(usa)')",1
