ID,NL,MR,ALIGNMENT,MONOTONIC
0,give me all the cities in virginia,answer(city(loc_2(stateid(virginia)))),"('give', 'answer'), ('me', 'ε'), ('all', 'ε'), ('the', 'ε'), ('cities', 'city'), ('in', 'loc_2'), ('virginia', 'stateid(virginia)')",1
1,what are the high points of states surrounding mississippi,answer(high_point_1(state(next_to_2(stateid(mississippi))))),"('what', 'answer'), ('are', 'ε'), ('the', 'ε'), ('high', 'high_point_1'), ('points', 'ε'), ('of', 'ε'), ('states', 'state'), ('surrounding', 'next_to_2'), ('mississippi', 'stateid(mississippi)')",1
2,name the rivers in arkansas,answer(river(loc_2(stateid(arkansas)))),"('name', 'answer'), ('the', 'ε'), ('rivers', 'river'), ('in', 'loc_2'), ('arkansas', 'stateid(arkansas)')",1
3,name all the rivers in colorado,answer(river(loc_2(stateid(colorado)))),"('name', 'answer'), ('all', 'ε'), ('the', 'ε'), ('rivers', 'river'), ('in', 'loc_2'), ('colorado', 'stateid(colorado)')",1
4,can you tell me the capital of texas,answer(capital(loc_2(stateid(texas)))),"('can', 'ε'), ('you', 'ε'), ('tell', 'answer'), ('me', 'ε'), ('the', 'ε'), ('capital', 'capital'), ('of', 'loc_2'), ('texas', 'stateid(texas)')",1
5,could you tell me what is the highest point in the state of oregon,answer(highest(place(loc_2(stateid(oregon)))))),"('could', 'ε'), ('you', 'ε'), ('tell', 'ε'), ('me', 'ε'), ('what', 'answer'), ('is', 'ε'), ('the', 'ε'), ('highest', 'highest'), ('point', 'place'), ('in', 'loc_2'), ('the', 'ε'), ('state', 'ε'), ('of', 'ε'), ('oregon', 'stateid(oregon)')",1
6,count the states which have elevations lower than what alabama has,answer(count(state(low_point_2(lower_2(low_point_1(stateid(alabama))))))),"('count', 'count'), ('the', 'ε'), ('states', 'state'), ('which', 'answer'), ('have', 'ε'), ('elevations', 'low_point_2'), ('lower', 'lower_2'), ('than', 'ε'), ('what', 'low_point_1'), ('alabama', 'stateid(alabama)'), ('has', 'ε')",0
7,give me all the states of the usa,answer(state(loc_2(countryid(usa)))),"('give', 'answer'), ('me', 'ε'), ('all', 'ε'), ('the', 'ε'), ('states', 'state'), ('of', 'loc_2'), ('the', 'ε'), ('usa', 'countryid(usa)')",1
8,give me the cities in texas,answer(city(loc_2(stateid(texas)))),"('give', 'answer'), ('me', 'ε'), ('the', 'ε'), ('cities', 'city'), ('in', 'loc_2'), ('texas', 'stateid(texas)')",1
9,give me the cities in usa,answer(city(loc_2(countryid(usa)))),"('give', 'answer'), ('me', 'ε'), ('the', 'ε'), ('cities', 'city'), ('in', 'loc_2'), ('usa', 'countryid(usa)')",1
10,give me the cities in virginia,answer(city(loc_2(stateid(virginia)))),"('give', 'answer'), ('me', 'ε'), ('the', 'ε'), ('cities', 'city'), ('in', 'loc_2'), ('virginia', 'stateid(virginia)')",1
11,give me the cities which are in texas,answer(city(loc_2(stateid(texas)))),"('give', 'answer'), ('me', 'ε'), ('the', 'ε'), ('cities', 'city'), ('which', 'ε'), ('are', 'ε'), ('in', 'loc_2'), ('texas', 'stateid(texas)')",1
12,give me the lakes in california,answer(lake(loc_2(stateid(california)))),"('give', 'answer'), ('me', 'ε'), ('the', 'ε'), ('lakes', 'lake'), ('in', 'loc_2'), ('california', 'stateid(california)')",1
13,give me the largest state,answer(largest(state(all))),"('give', 'answer'), ('me', 'ε'), ('the', 'ε'), ('largest', 'largest'), ('state', 'state(all)')",1
14,give me the longest river that passes through the us,answer(longest(river(traverse_2(countryid(usa))))),"('give', 'answer'), ('me', 'ε'), ('the', 'ε'), ('longest', 'longest'), ('river', 'river'), ('that', 'ε'), ('passes', 'traverse_2'), ('through', 'ε'), ('the', 'ε'), ('us', 'countryid(usa)')",1
15,give me the number of rivers in california,answer(count(river(loc_2(stateid(california))))),"('give', 'answer'), ('me', 'ε'), ('the', 'ε'), ('number', 'count'), ('of', 'ε'), ('rivers', 'river'), ('in', 'loc_2'), ('california', 'stateid(california)')",1
16,give me the states that border utah,answer(state(next_to_2(stateid(utah)))),"('give', 'answer'), ('me', 'ε'), ('the', 'ε'), ('states', 'state'), ('that', 'ε'), ('border', 'next_to_2'), ('utah', 'stateid(utah)')",1
17,how big is alaska,answer(size(stateid(alaska))),"('how', 'answer'), ('big', 'size'), ('is', 'ε'), ('alaska', 'stateid(alaska)')",1
18,how big is massachusetts,answer(size(stateid(massachusetts))),"('how', 'answer'), ('big', 'size'), ('is', 'ε'), ('massachusetts', 'stateid(massachusetts)')",1
19,how big is new mexico,answer(size(stateid(new mexico))),"('how', 'answer'), ('big', 'size'), ('is', 'ε'), ('new', 'stateid(new mexico)'), ('mexico', 'ε')",1
20,how big is north dakota,answer(size(stateid(north dakota))),"('how', 'answer'), ('big', 'size'), ('is', 'ε'), ('north', 'stateid(north dakota)'), ('dakota', 'ε')",1
21,how big is texas,answer(size(stateid(texas))),"('how', 'answer'), ('big', 'size'), ('is', 'ε'), ('texas', 'stateid(texas)')",1
22,how big is the city of new york,"answer(size(city(cityid(new york, _))))","('how', 'answer'), ('big', 'size'), ('is', 'ε'), ('the', 'ε'), ('city', 'city'), ('of', 'ε'), ('new', 'cityid(new york, _)'), ('york', 'ε')",1
23,how high are the highest points of all the states,answer(elevation_1(highest(place(loc_2(state(all)))))),"('how', 'answer'), ('high', 'elevation_1'), ('are', 'ε'), ('the', 'ε'), ('highest', 'highest'), ('points', 'place'), ('of', 'loc_2'), ('all', 'ε'), ('the', 'ε'), ('states', 'state(all)')",1
24,how high is guadalupe peak,answer(elevation_1(placeid(guadalupe peak))),"('how', 'answer'), ('high', 'elevation_1'), ('is', 'ε'), ('guadalupe', 'placeid(guadalupe peak)'), ('peak', 'ε')",1
25,how high is mount mckinley,answer(elevation_1(placeid(mount mckinley))),"('how', 'answer'), ('high', 'elevation_1'), ('is', 'ε'), ('mount', 'placeid(mount mckinley)'), ('mckinley', 'ε')",1
26,how high is the highest point in america,answer(elevation_1(highest(place(loc_2(countryid(usa)))))),"('how', 'answer'), ('high', 'elevation_1'), ('is', 'ε'), ('the', 'ε'), ('highest', 'highest'), ('point', 'place'), ('in', 'loc_2'), ('america', 'countryid(usa)')",1
27,how high is the highest point in montana,answer(elevation_1(highest(place(loc_2(stateid(montana)))))),"('how', 'answer'), ('high', 'elevation_1'), ('is', 'ε'), ('the', 'ε'), ('highest', 'highest'), ('point', 'place'), ('in', 'loc_2'), ('montana', 'stateid(montana)')",1
28,how high is the highest point in the largest state,answer(elevation_1(highest(place(loc_2(largest(state(all))))))),"('how', 'answer'), ('high', 'elevation_1'), ('is', 'ε'), ('the', 'ε'), ('highest', 'highest'), ('point', 'place'), ('in', 'loc_2'), ('the', 'ε'), ('largest', 'largest'), ('state', 'state(all)')",1
29,how high is the highest point of alabama,answer(elevation_1(highest(place(loc_2(stateid(alabama)))))),"('how', 'answer'), ('high', 'elevation_1'), ('is', 'ε'), ('the', 'ε'), ('highest', 'highest'), ('point', 'place'), ('of', 'loc_2'), ('alabama', 'stateid(alabama)')",1
30,how high is the highest point of delaware,answer(elevation_1(highest(place(loc_2(stateid(delaware)))))),"('how', 'answer'), ('high', 'elevation_1'), ('is', 'ε'), ('the', 'ε'), ('highest', 'highest'), ('point', 'place'), ('of', 'loc_2'), ('delaware', 'stateid(delaware)')",1
31,how high is the highest point of florida,answer(elevation_1(highest(place(loc_2(stateid(florida)))))),"('how', 'answer'), ('high', 'elevation_1'), ('is', 'ε'), ('the', 'ε'), ('highest', 'highest'), ('point', 'place'), ('of', 'loc_2'), ('florida', 'stateid(florida)')",1
32,how high is the highest point of louisiana,answer(elevation_1(highest(place(loc_2(stateid(louisiana)))))),"('how', 'answer'), ('high', 'elevation_1'), ('is', 'ε'), ('the', 'ε'), ('highest', 'highest'), ('point', 'place'), ('of', 'loc_2'), ('louisiana', 'stateid(louisiana)')",1
33,how large is alaska,answer(size(stateid(alaska))),"('how', 'answer'), ('large', 'size'), ('is', 'ε'), ('alaska', 'stateid(alaska)')",1
34,how large is texas,answer(size(stateid(texas))),"('how', 'answer'), ('large', 'size'), ('is', 'ε'), ('texas', 'stateid(texas)')",1
35,how large is the largest city in alaska,answer(size(largest(city(loc_2(stateid(alaska)))))),"('how', 'answer'), ('large', 'size'), ('is', 'ε'), ('the', 'ε'), ('largest', 'largest'), ('city', 'city'), ('in', 'loc_2'), ('alaska', 'stateid(alaska)')",1
36,how long is rio grande,answer(len(riverid(rio grande))),"('how', 'answer'), ('long', 'len'), ('is', 'ε'), ('rio', 'riverid(rio grande)'), ('grande', 'ε')",1
37,how long is the colorado river,answer(len(riverid(colorado))),"('how', 'answer'), ('long', 'len'), ('is', 'ε'), ('the', 'ε'), ('colorado', 'riverid(colorado)'), ('river', 'ε')",1
38,how long is the delaware river,answer(len(riverid(delaware))),"('how', 'answer'), ('long', 'len'), ('is', 'ε'), ('the', 'ε'), ('delaware', 'riverid(delaware)'), ('river', 'ε')",1
39,how long is the longest river in california,answer(len(longest(river(loc_2(stateid(california)))))),"('how', 'answer'), ('long', 'len'), ('is', 'ε'), ('the', 'ε'), ('longest', 'longest'), ('river', 'river'), ('in', 'loc_2'), ('california', 'stateid(california)')",1
40,how long is the longest river in the usa,answer(len(longest(river(loc_2(countryid(usa)))))),"('how', 'answer'), ('long', 'len'), ('is', 'ε'), ('the', 'ε'), ('longest', 'longest'), ('river', 'river'), ('in', 'loc_2'), ('the', 'ε'), ('usa', 'countryid(usa)')",1
41,how long is the mississippi river,answer(len(riverid(mississippi))),"('how', 'answer'), ('long', 'len'), ('is', 'ε'), ('the', 'ε'), ('mississippi', 'riverid(mississippi)'), ('river', 'ε')",1
42,how long is the mississippi,answer(len(riverid(mississippi))),"('how', 'answer'), ('long', 'len'), ('is', 'ε'), ('the', 'ε'), ('mississippi', 'riverid(mississippi)')",1
