ID,NL,MR,ALIGNMENT,MONOTONIC
0,gebe mir die staedte in virginia,answer(city(loc_2(stateid(virginia)))),"('gebe', 'answer'), ('mir', 'ε'), ('die', 'ε'), ('staedte', 'city'), ('in', 'loc_2'), ('virginia', 'stateid(virginia)')",1
1,welches sind die hoechsten punkte der an mississippi grenzenden staaten,answer(high_point_1(state(next_to_2(stateid(mississippi))))),"('welches', 'answer'), ('sind', 'ε'), ('die', 'ε'), ('hoechsten', 'high_point_1'), ('punkte', 'ε'), ('der', 'ε'), ('an', 'ε'), ('mississippi', 'stateid(mississippi)'), ('grenzenden', 'next_to_2'), ('staaten', 'state')",0
2,nenne die fluesse in arkansas,answer(river(loc_2(stateid(arkansas)))),"('nenne', 'answer'), ('die', 'ε'), ('fluesse', 'river'), ('in', 'loc_2'), ('arkansas', 'stateid(arkansas)')",1
3,nenne alle fluesse in colorado,answer(river(loc_2(stateid(colorado)))),"('nenne', 'answer'), ('alle', 'ε'), ('fluesse', 'river'), ('in', 'loc_2'), ('colorado', 'stateid(colorado)')",1
4,koennenst du mir die hauptstadt von texas nennen,answer(capital(loc_2(stateid(texas)))),"('koennenst', 'ε'), ('du', 'ε'), ('mir', 'ε'), ('die', 'ε'), ('hauptstadt', 'capital'), ('von', 'loc_2'), ('texas', 'stateid(texas)'), ('nennen', 'answer')",0
5,koenntest du mir sagen welches der hoechstgelegene punkt im staate oregon ist,answer(highest(place(loc_2(stateid(oregon)))))),"('koenntest', 'ε'), ('du', 'ε'), ('mir', 'ε'), ('sagen', 'ε'), ('welches', 'answer'), ('der', 'ε'), ('hoechstgelegene', 'highest'), ('punkt', 'place'), ('im', 'loc_2'), ('staate', 'ε'), ('oregon', 'stateid(oregon)'), ('ist', 'ε')",1
6,zahle die staaten welche erhebungen haben die niedriger liegen als jene in alabama,answer(count(state(low_point_2(lower_2(low_point_1(stateid(alabama))))))),"('zahle', 'count'), ('die', 'ε'), ('staaten', 'state'), ('welche', 'answer'), ('erhebungen', 'low_point_2'), ('haben', 'ε'), ('die', 'ε'), ('niedriger', 'lower_2'), ('liegen', 'low_point_1'), ('als', 'ε'), ('jene', 'ε'), ('in', 'ε'), ('alabama', 'stateid(alabama)')",0
7,nenne alle staaten der usa,answer(state(loc_2(countryid(usa)))),"('nenne', 'answer'), ('alle', 'ε'), ('staaten', 'state'), ('der', 'loc_2'), ('usa', 'countryid(usa)')",1
8,sag mir welche staedte in texas sind,answer(city(loc_2(stateid(texas)))),"('sag', 'ε'), ('mir', 'ε'), ('welche', 'answer'), ('staedte', 'city'), ('in', 'loc_2'), ('texas', 'stateid(texas)'), ('sind', 'ε')",1
9,nenne die staedte der usa,answer(city(loc_2(countryid(usa)))),"('nenne', 'answer'), ('die', 'ε'), ('staedte', 'city'), ('der', 'loc_2'), ('usa', 'countryid(usa)')",1
10,nenne mir die staedte in virginia,answer(city(loc_2(stateid(virginia)))),"('nenne', 'answer'), ('mir', 'ε'), ('die', 'ε'), ('staedte', 'city'), ('in', 'loc_2'), ('virginia', 'stateid(virginia)')",1
11,nenne mir staedte in texas,answer(city(loc_2(stateid(texas)))),"('nenne', 'answer'), ('mir', 'ε'), ('staedte', 'city'), ('in', 'loc_2'), ('texas', 'stateid(texas)')",1
12,nenne mir die seen in california,answer(lake(loc_2(stateid(california)))),"('nenne', 'answer'), ('mir', 'ε'), ('die', 'ε'), ('seen', 'lake'), ('in', 'loc_2'), ('california', 'stateid(california)')",1
13,welcher staat ist der groesste,answer(largest(state(all))),"('welcher', 'answer'), ('staat', 'state(all)'), ('ist', 'ε'), ('der', 'ε'), ('groesste', 'largest')",0
14,nenne mir den laengsten fluss welcher durch die usa fliesst,answer(longest(river(traverse_2(countryid(usa))))),"('nenne', 'answer'), ('mir', 'ε'), ('den', 'ε'), ('laengsten', 'longest'), ('fluss', 'river'), ('welcher', 'ε'), ('durch', 'traverse_2'), ('die', 'ε'), ('usa', 'countryid(usa)'), ('fliesst', 'ε')",1
15,nenne mir die anzahl der fluesse in california,answer(count(river(loc_2(stateid(california))))),"('nenne', 'answer'), ('mir', 'ε'), ('die', 'ε'), ('anzahl', 'count'), ('der', 'ε'), ('fluesse', 'river'), ('in', 'loc_2'), ('california', 'stateid(california)')",1
16,nenne mir die staaten welche an utah grenzen,answer(state(next_to_2(stateid(utah)))),"('nenne', 'answer'), ('mir', 'ε'), ('die', 'ε'), ('staaten', 'state'), ('welche', 'ε'), ('an', 'next_to_2'), ('utah', 'stateid(utah)'), ('grenzen', 'ε')",1
17,wie gross ist alaska,answer(size(stateid(alaska))),"('wie', 'answer'), ('gross', 'size'), ('ist', 'ε'), ('alaska', 'stateid(alaska)')",1
18,wie gross ist massachusetts,answer(size(stateid(massachusetts))),"('wie', 'answer'), ('gross', 'size'), ('ist', 'ε'), ('massachusetts', 'stateid(massachusetts)')",1
19,wie gross ist new mexico,answer(size(stateid(new mexico))),"('wie', 'answer'), ('gross', 'size'), ('ist', 'ε'), ('new', 'stateid(new mexico)'), ('mexico', 'ε')",1
20,wie gross ist north dakota,answer(size(stateid(north dakota))),"('wie', 'answer'), ('gross', 'size'), ('ist', 'ε'), ('north', 'stateid(north dakota)'), ('dakota', 'ε')",1
21,wie gross ist texas,answer(size(stateid(texas))),"('wie', 'answer'), ('gross', 'size'), ('ist', 'ε'), ('texas', 'stateid(texas)')",1
22,wie gross ist die stadt new york,"answer(size(city(cityid(new york, _))))","('wie', 'answer'), ('gross', 'size'), ('ist', 'ε'), ('die', 'ε'), ('stadt', 'city'), ('new', 'cityid(new york, _)'), ('york', 'ε')",1
23,wie hoch sind hoechsten erhebungen aller staaten,answer(elevation_1(highest(place(loc_2(state(all)))))),"('wie', 'answer'), ('hoch', 'elevation_1'), ('sind', 'ε'), ('hoechsten', 'highest'), ('erhebungen', 'place'), ('aller', 'loc_2'), ('staaten', 'state(all)')",1
24,wie hoch liegt guadalupe peak,answer(elevation_1(placeid(guadalupe peak))),"('wie', 'answer'), ('hoch', 'elevation_1'), ('liegt', 'ε'), ('guadalupe', 'placeid(guadalupe peak)'), ('peak', 'ε')",1
25,wie hoch ist mount mckinley,answer(elevation_1(placeid(mount mckinley))),"('wie', 'answer'), ('hoch', 'elevation_1'), ('ist', 'ε'), ('mount', 'placeid(mount mckinley)'), ('mckinley', 'ε')",1
26,wie hoch liegt der hoechste punkt in amerika,answer(elevation_1(highest(place(loc_2(countryid(usa)))))),"('wie', 'answer'), ('hoch', 'elevation_1'), ('liegt', 'ε'), ('der', 'ε'), ('hoechste', 'highest'), ('punkt', 'place'), ('in', 'loc_2'), ('amerika', 'countryid(usa)')",1
27,wie hoch ist der hoechste punkt in montana,answer(elevation_1(highest(place(loc_2(stateid(montana)))))),"('wie', 'answer'), ('hoch', 'elevation_1'), ('ist', 'ε'), ('der', 'ε'), ('hoechste', 'highest'), ('punkt', 'place'), ('in', 'loc_2'), ('montana', 'stateid(montana)')",1
28,wie hoch liegt der hoechste punkt des groessten staates,answer(elevation_1(highest(place(loc_2(largest(state(all))))))),"('wie', 'answer'), ('hoch', 'elevation_1'), ('liegt', 'ε'), ('der', 'ε'), ('hoechste', 'highest'), ('punkt', 'place'), ('des', 'loc_2'), ('groessten', 'largest'), ('staates', 'state(all)')",1
29,wie hoch liegt der hoechste punkt in alabama,answer(elevation_1(highest(place(loc_2(stateid(alabama)))))),"('wie', 'answer'), ('hoch', 'elevation_1'), ('liegt', 'ε'), ('der', 'ε'), ('hoechste', 'highest'), ('punkt', 'place'), ('in', 'loc_2'), ('alabama', 'stateid(alabama)')",1
30,wie hoch liegt der hoechste punkt von delaware,answer(elevation_1(highest(place(loc_2(stateid(delaware)))))),"('wie', 'answer'), ('hoch', 'elevation_1'), ('liegt', 'ε'), ('der', 'ε'), ('hoechste', 'highest'), ('punkt', 'place'), ('von', 'loc_2'), ('delaware', 'stateid(delaware)')",1
31,wie hoch liegt der hoechste punkt floridas,answer(elevation_1(highest(place(loc_2(stateid(florida)))))),"('wie', 'answer'), ('hoch', 'elevation_1'), ('liegt', 'ε'), ('der', 'ε'), ('hoechste', 'highest'), ('punkt', 'place'), ('ε', 'loc_2'), ('floridas', 'stateid(florida)')",1
32,wie hoch liegt der hoechste punkt von louisiana,answer(elevation_1(highest(place(loc_2(stateid(louisiana)))))),"('wie', 'answer'), ('hoch', 'elevation_1'), ('liegt', 'ε'), ('der', 'ε'), ('hoechste', 'highest'), ('punkt', 'place'), ('von', 'loc_2'), ('louisiana', 'stateid(louisiana)')",1
33,wie gross ist alaska,answer(size(stateid(alaska))),"('wie', 'answer'), ('gross', 'size'), ('ist', 'ε'), ('alaska', 'stateid(alaska)')",1
34,wie gross ist texas,answer(size(stateid(texas))),"('wie', 'answer'), ('gross', 'size'), ('ist', 'ε'), ('texas', 'stateid(texas)')",1
