,ID,NL,MR,MONOTONIC,ALIGNMENT
0,0,gebe mir die staedte in state_name,answer(city(loc_2(stateid(state_name)))),1,"('gebe', 'answer'), ('mir', 'ε'), ('die', 'ε'), ('staedte', 'city'), ('in', 'loc_2'), ('state_name', 'stateid(state_name)')"
1,1,welches sind die hoechsten punkte der an state_name grenzenden staaten,answer(high_point_1(state(next_to_2(stateid(state_name))))),0,"('welches', 'answer'), ('sind', 'ε'), ('die', 'ε'), ('hoechsten', 'high_point_1'), ('punkte', 'ε'), ('der', 'ε'), ('an', 'ε'), ('state_name', 'stateid(state_name)'), ('grenzenden', 'next_to_2'), ('staaten', 'state')"
2,2,nenne die fluesse in state_name,answer(river(loc_2(stateid(state_name)))),1,"('nenne', 'answer'), ('die', 'ε'), ('fluesse', 'river'), ('in', 'loc_2'), ('state_name', 'stateid(state_name)')"
3,3,nenne alle fluesse in state_name,answer(river(loc_2(stateid(state_name)))),1,"('nenne', 'answer'), ('alle', 'ε'), ('fluesse', 'river'), ('in', 'loc_2'), ('state_name', 'stateid(state_name)')"
4,4,koennenst du mir die hauptstadt von state_name nennen,answer(capital(loc_2(stateid(state_name)))),0,"('koennenst', 'ε'), ('du', 'ε'), ('mir', 'ε'), ('die', 'ε'), ('hauptstadt', 'capital'), ('von', 'loc_2'), ('state_name', 'stateid(state_name)'), ('nennen', 'answer')"
5,5,koenntest du mir sagen welches der hoechstgelegene punkt im staate state_name ist,answer(highest(place(loc_2(stateid(state_name)))))),1,"('koenntest', 'ε'), ('du', 'ε'), ('mir', 'ε'), ('sagen', 'ε'), ('welches', 'answer'), ('der', 'ε'), ('hoechstgelegene', 'highest'), ('punkt', 'place'), ('im', 'loc_2'), ('staate', 'ε'), ('state_name', 'stateid(state_name)'), ('ist', 'ε')"
6,6,zahle die staaten welche erhebungen haben die niedriger liegen als jene in state_name,answer(count(state(low_point_2(lower_2(low_point_1(stateid(state_name))))))),0,"('zahle', 'count'), ('die', 'ε'), ('staaten', 'state'), ('welche', 'answer'), ('erhebungen', 'low_point_2'), ('haben', 'ε'), ('die', 'ε'), ('niedriger', 'lower_2'), ('liegen', 'low_point_1'), ('als', 'ε'), ('jene', 'ε'), ('in', 'ε'), ('state_name', 'stateid(state_name)')"
7,7,nenne alle staaten der usa,answer(state(loc_2(countryid(usa)))),1,"('nenne', 'answer'), ('alle', 'ε'), ('staaten', 'state'), ('der', 'loc_2'), ('usa', 'countryid(usa)')"
8,8,sag mir welche staedte in state_name sind,answer(city(loc_2(stateid(state_name)))),1,"('sag', 'ε'), ('mir', 'ε'), ('welche', 'answer'), ('staedte', 'city'), ('in', 'loc_2'), ('state_name', 'stateid(state_name)'), ('sind', 'ε')"
9,9,nenne die staedte der usa,answer(city(loc_2(countryid(usa)))),1,"('nenne', 'answer'), ('die', 'ε'), ('staedte', 'city'), ('der', 'loc_2'), ('usa', 'countryid(usa)')"
10,10,nenne mir die staedte in state_name,answer(city(loc_2(stateid(state_name)))),1,"('nenne', 'answer'), ('mir', 'ε'), ('die', 'ε'), ('staedte', 'city'), ('in', 'loc_2'), ('state_name', 'stateid(state_name)')"
11,11,nenne mir staedte in state_name,answer(city(loc_2(stateid(state_name)))),1,"('nenne', 'answer'), ('mir', 'ε'), ('staedte', 'city'), ('in', 'loc_2'), ('state_name', 'stateid(state_name)')"
12,12,nenne mir die seen in state_name,answer(lake(loc_2(stateid(state_name)))),1,"('nenne', 'answer'), ('mir', 'ε'), ('die', 'ε'), ('seen', 'lake'), ('in', 'loc_2'), ('state_name', 'stateid(state_name)')"
13,13,welcher staat ist der groesste,answer(largest(state(all))),0,"('welcher', 'answer'), ('staat', 'state(all)'), ('ist', 'ε'), ('der', 'ε'), ('groesste', 'largest')"
14,14,nenne mir den laengsten fluss welcher durch die usa fliesst,answer(longest(river(traverse_2(countryid(usa))))),1,"('nenne', 'answer'), ('mir', 'ε'), ('den', 'ε'), ('laengsten', 'longest'), ('fluss', 'river'), ('welcher', 'ε'), ('durch', 'traverse_2'), ('die', 'ε'), ('usa', 'countryid(usa)'), ('fliesst', 'ε')"
15,15,nenne mir die anzahl der fluesse in state_name,answer(count(river(loc_2(stateid(state_name))))),1,"('nenne', 'answer'), ('mir', 'ε'), ('die', 'ε'), ('anzahl', 'count'), ('der', 'ε'), ('fluesse', 'river'), ('in', 'loc_2'), ('state_name', 'stateid(state_name)')"
16,16,nenne mir die staaten welche an state_name grenzen,answer(state(next_to_2(stateid(state_name)))),1,"('nenne', 'answer'), ('mir', 'ε'), ('die', 'ε'), ('staaten', 'state'), ('welche', 'ε'), ('an', 'next_to_2'), ('state_name', 'stateid(state_name)'), ('grenzen', 'ε')"
17,17,wie gross ist state_name,answer(size(stateid(state_name))),1,"('wie', 'answer'), ('gross', 'size'), ('ist', 'ε'), ('state_name', 'stateid(state_name)')"
18,18,wie gross ist state_name,answer(size(stateid(state_name))),1,"('wie', 'answer'), ('gross', 'size'), ('ist', 'ε'), ('state_name', 'stateid(state_name)')"
19,19,wie gross ist state_name,answer(size(stateid(state_name))),1,"('wie', 'answer'), ('gross', 'size'), ('ist', 'ε'), ('city_name', 'stateid(state_name)'), ('state_name', 'ε')"
20,20,wie gross ist state_name,answer(size(stateid(state_name))),1,"('wie', 'answer'), ('gross', 'size'), ('ist', 'ε'), ('city_name', 'stateid(state_name)'), ('state_name', 'ε')"
21,21,wie gross ist state_name,answer(size(stateid(state_name))),1,"('wie', 'answer'), ('gross', 'size'), ('ist', 'ε'), ('state_name', 'stateid(state_name)')"
22,22,wie gross ist die stadt city_name,"answer(size(city(cityid(city_name, _))))",1,"('wie', 'answer'), ('gross', 'size'), ('ist', 'ε'), ('die', 'ε'), ('stadt', 'city'), ('city_name', 'cityid(city_name, _)'), ('state_name', 'ε')"
