,ID,NL,MR,MONOTONIC,ALIGNMENT
0,0,dammi tutte le città in state_name,answer(city(loc_2(stateid(state_name)))),1,"('dammi', 'answer'), ('tutte', 'ε'), ('le', 'ε'), ('città', 'city'), ('in', 'loc_2'), ('state_name', 'stateid(state_name)')"
1,1,quali sono i picchi degli stati intorno a mississipi,answer(high_point_1(state(next_to_2(stateid(state_name))))),1,"('quali', 'answer'), ('sono', 'ε'), ('i', 'ε'), ('picchi', 'high_point_1'), ('degli', 'ε'), ('stati', 'state'), ('intorno', 'next_to_2'), ('a', 'ε'), ('mississipi', 'stateid(state_name)')"
2,2,nomina i fiumi in state_name,answer(river(loc_2(stateid(state_name)))),1,"('nomina', 'answer'), ('i', 'ε'), ('fiumi', 'river'), ('in', 'loc_2'), ('state_name', 'stateid(state_name)')"
3,3,nomina tutti i fiumi in state_name,answer(river(loc_2(stateid(state_name)))),1,"('nomina', 'answer'), ('tutti', 'ε'), ('i', 'ε'), ('fiumi', 'river'), ('in', 'loc_2'), ('state_name', 'stateid(state_name)')"
4,4,puoi dirmi la capitale del state_name,answer(capital(loc_2(stateid(state_name)))),1,"('puoi', 'ε'), ('dirmi', 'answer'), ('la', 'ε'), ('capitale', 'capital'), ('del', 'loc_2'), ('state_name', 'stateid(state_name)')"
5,5,mi potresti dire quale è il picco più alto nello stato dell state_name,answer(highest(place(loc_2(stateid(state_name)))))),0,"('mi', 'ε'), ('potresti', 'ε'), ('dire', 'ε'), ('quale', 'answer'), ('è', 'ε'), ('il', 'ε'), ('picco', 'place'), ('più', 'ε'), ('alto', 'highest'), ('nello', 'loc_2'), ('stato', 'ε'), ('dell', 'ε'), ('state_name', 'stateid(state_name)')"
6,6,conta gli stati che hanno elevazione inferiore a quella dell state_name,answer(count(state(low_point_2(lower_2(low_point_1(stateid(state_name))))))),0,"('conta', 'count'), ('gli', 'ε'), ('stati', 'state'), ('che', 'answer'), ('hanno', 'ε'), ('elevazione', 'low_point_2'), ('infelower_2re', 'lower_2'), ('quella', 'low_point_1'), ('dell', 'ε'), ('state_name', 'stateid(state_name)')"
7,7,dammi tutti gli stati degli usa,answer(state(loc_2(countryid(usa)))),1,"('dammi', 'answer'), ('tutti', 'ε'), ('gli', 'ε'), ('stati', 'state'), ('degli', 'loc_2'), ('usa', 'countryid(usa)')"
8,8,dammi le città in state_name,answer(city(loc_2(stateid(state_name)))),1,"('dammi', 'answer'), ('le', 'ε'), ('città', 'city'), ('in', 'loc_2'), ('state_name', 'stateid(state_name)')"
9,9,dammi le città in usa,answer(city(loc_2(countryid(usa)))),1,"('dammi', 'answer'), ('le', 'ε'), ('città', 'city'), ('in', 'loc_2'), ('usa', 'countryid(usa)')"
10,10,dammi le città in state_name,answer(city(loc_2(stateid(state_name)))),1,"('dammi', 'answer'), ('le', 'ε'), ('città', 'city'), ('in', 'loc_2'), ('state_name', 'stateid(state_name)')"
11,11,dammi le città che sono in state_name,answer(city(loc_2(stateid(state_name)))),1,"('dammi', 'answer'), ('le', 'ε'), ('città', 'city'), ('che', 'ε'), ('sono', 'ε'), ('in', 'loc_2'), ('state_name', 'stateid(state_name)')"
12,12,dammi i laghi in state_name,answer(lake(loc_2(stateid(state_name)))),1,"('dammi', 'answer'), ('i', 'ε'), ('laghi', 'lake'), ('in', 'loc_2'), ('state_name', 'stateid(state_name)')"
