,ID,NL,MR,MONOTONIC,ALIGNMENT
0,0,give me all the cities in state_name,answer(city(loc_2(stateid(state_name)))),1,"('give', 'answer'), ('me', 'ε'), ('all', 'ε'), ('the', 'ε'), ('cities', 'city'), ('in', 'loc_2'), ('state_name', 'stateid(state_name)')"
1,1,what are the high points of states surrounding state_name,answer(high_point_1(state(next_to_2(stateid(state_name))))),1,"('what', 'answer'), ('are', 'ε'), ('the', 'ε'), ('high', 'high_point_1'), ('points', 'ε'), ('of', 'ε'), ('states', 'state'), ('surrounding', 'next_to_2'), ('state_name', 'stateid(state_name)')"
2,2,name the rivers in state_name,answer(river(loc_2(stateid(state_name)))),1,"('name', 'answer'), ('the', 'ε'), ('rivers', 'river'), ('in', 'loc_2'), ('state_name', 'stateid(state_name)')"
3,3,name all the rivers in state_name,answer(river(loc_2(stateid(state_name)))),1,"('name', 'answer'), ('all', 'ε'), ('the', 'ε'), ('rivers', 'river'), ('in', 'loc_2'), ('state_name', 'stateid(state_name)')"
4,4,can you tell me the capital of state_name,answer(capital(loc_2(stateid(state_name)))),1,"('can', 'ε'), ('you', 'ε'), ('tell', 'answer'), ('me', 'ε'), ('the', 'ε'), ('capital', 'capital'), ('of', 'loc_2'), ('state_name', 'stateid(state_name)')"
5,5,could you tell me what is the highest point in the state of state_name,answer(highest(place(loc_2(stateid(state_name)))))),1,"('could', 'ε'), ('you', 'ε'), ('tell', 'ε'), ('me', 'ε'), ('what', 'answer'), ('is', 'ε'), ('the', 'ε'), ('highest', 'highest'), ('point', 'place'), ('in', 'loc_2'), ('the', 'ε'), ('state', 'ε'), ('of', 'ε'), ('state_name', 'stateid(state_name)')"
6,6,count the states which have elevations lower than what state_name has,answer(count(state(low_point_2(lower_2(low_point_1(stateid(state_name))))))),0,"('count', 'count'), ('the', 'ε'), ('states', 'state'), ('which', 'answer'), ('have', 'ε'), ('elevations', 'low_point_2'), ('lower', 'lower_2'), ('than', 'ε'), ('what', 'low_point_1'), ('state_name', 'stateid(state_name)'), ('has', 'ε')"
7,7,give me all the states of the usa,answer(state(loc_2(countryid(usa)))),1,"('give', 'answer'), ('me', 'ε'), ('all', 'ε'), ('the', 'ε'), ('states', 'state'), ('of', 'loc_2'), ('the', 'ε'), ('usa', 'countryid(usa)')"
8,8,give me the cities in state_name,answer(city(loc_2(stateid(state_name)))),1,"('give', 'answer'), ('me', 'ε'), ('the', 'ε'), ('cities', 'city'), ('in', 'loc_2'), ('state_name', 'stateid(state_name)')"
9,9,give me the cities in usa,answer(city(loc_2(countryid(usa)))),1,"('give', 'answer'), ('me', 'ε'), ('the', 'ε'), ('cities', 'city'), ('in', 'loc_2'), ('usa', 'countryid(usa)')"
10,10,give me the cities in state_name,answer(city(loc_2(stateid(state_name)))),1,"('give', 'answer'), ('me', 'ε'), ('the', 'ε'), ('cities', 'city'), ('in', 'loc_2'), ('state_name', 'stateid(state_name)')"
